Module                  Size  Used by
i2c_hid_acpi           12288  0
intel_uncore          282624  0
i2c_smbus              20480  1 i2c_i801
platform_profile       20480  2 acer_wmi,processor_thermal_soc_slider
processor_thermal_mbox    12288  4 processor_thermal_power_floor,processor_thermal_wt_req,processor_thermal_rfim,processor_thermal_wt_hint
mc                     94208  4 videodev,videobuf2_v4l2,uvcvideo,videobuf2_common
pcspkr                 12288  0
mei                   212992  5 mei_hdcp,mei_pxp,mei_me
nvidia_wmi_ec_backlight    12288  0
sparse_keymap          12288  1 acer_wmi
mtd                   110592  3 spi_nor
wmi_bmof               12288  0
i2c_mux                20480  1 i2c_i801
pmt_class              20480  2 pmt_telemetry,pmt_discovery
thunderbolt           598016  1 typec
i2c_hid                45056  1 i2c_hid_acpi
acer_wireless          16384  0
soundcore              16384  2 snd_ctl_led,snd
igen6_edac             36864  0
int340x_thermal_zone    16384  2 int3403_thermal,processor_thermal_device
pinctrl_tigerlake      28672  1
intel_pmc_ssram_telemetry    16384  1 intel_pmc_core
acpi_thermal_rel       24576  1 int3400_thermal
acpi_pad              184320  0
cfg80211             1507328  3 iwlmvm,iwlwifi,mac80211
mac_hid                12288  0
rfkill                 45056  11 acer_wmi,iwlmvm,bluetooth,cfg80211
pkcs8_key_parser       12288  0
crypto_user            16384  0
nfnetlink              20480  6 nft_compat,nf_tables,ip_set
xe                   4362240  0
drm_suballoc_helper    16384  1 xe
gpu_sched              73728  1 xe
drm_gpuvm              57344  1 xe
drm_exec               12288  2 drm_gpuvm,xe
drm_gpusvm_helper      61440  1 xe
nvme                   77824  2
nvme_core             278528  3 nvme
nvme_keyring           20480  1 nvme_core
nvme_auth              32768  1 nvme_core
hkdf                   12288  1 nvme_auth
i915                 5009408  37
i2c_algo_bit           24576  2 xe,i915
drm_buddy              28672  2 xe,i915
intel_gtt              32768  1 i915
serio_raw              20480  0
intel_lpss_pci         28672  0
drm_display_helper    290816  2 xe,i915
spi_intel_pci          12288  0
intel_lpss             12288  1 intel_lpss_pci
spi_intel              40960  1 spi_intel_pci
intel_vsec             24576  3 intel_pmc_ssram_telemetry,pmt_telemetry,xe
cec                    98304  3 drm_display_helper,xe,i915
vmd                    28672  0
idma64                 20480  0
nvidia_drm            151552  21
drm_ttm_helper         20480  2 nvidia_drm,xe
ttm                   126976  3 drm_ttm_helper,xe,i915
nvidia_uvm           2490368  8
nvidia_modeset       2195456  7 nvidia_drm
video                  81920  5 nvidia_wmi_ec_backlight,acer_wmi,xe,i915,nvidia_modeset
wmi                    40960  4 video,nvidia_wmi_ec_backlight,acer_wmi,wmi_bmof
nvidia              16568320  242 nvidia_uvm,nvidia_modeset
