Module                  Size  Used by
rc_core                73728  1 cec
i2c_algo_bit           16384  1 amdgpu
snd_pci_acp3x          16384  0
snd                   143360  29 snd_hda_codec_generic,snd_seq,snd_seq_device,snd_hda_codec_hdmi,snd_hwdep,snd_hda_intel,snd_hda_codec,snd_hda_codec_realtek,snd_sof,snd_hda_scodec_cs35l41,snd_timer,snd_compress,snd_soc_core,snd_pcm,snd_hda_cs_dsp_ctls,snd_rawmidi
libarc4                12288  1 mac80211
ccp                   143360  1 kvm_amd
soundcore              16384  1 snd
mac_hid                12288  0
serial_multi_instantiate    16384  0
amd_pmc                49152  0
sch_fq_codel           24576  1
msr                    12288  0
parport_pc             53248  0
ppdev                  24576  0
lp                     28672  0
parport                73728  3 parport_pc,lp,ppdev
efi_pstore             12288  0
ip_tables              32768  0
x_tables               65536  6 xt_conntrack,nft_compat,xt_addrtype,xt_set,ip_tables,xt_MASQUERADE
autofs4                57344  2
hid_logitech_hidpp     65536  0
hid_logitech_dj        36864  0
hid_asus               32768  0
usbhid                 77824  3 hid_asus,hid_logitech_dj,hid_logitech_hidpp
nvme                   61440  2
mfd_aaeon              12288  0
asus_wmi               86016  3 asus_nb_wmi,hid_asus,mfd_aaeon
rtsx_pci_sdmmc         36864  0
ledtrig_audio          12288  1 asus_wmi
nvme_core             212992  3 nvme
sparse_keymap          12288  1 asus_wmi
ucsi_acpi              12288  0
hid_generic            12288  0
platform_profile       12288  1 asus_wmi
crc32_pclmul           12288  0
typec_ucsi             61440  1 ucsi_acpi
thunderbolt           516096  0
i2c_piix4              32768  0
xhci_pci               24576  0
xhci_pci_renesas       20480  1 xhci_pci
rtsx_pci              143360  1 rtsx_pci_sdmmc
nvme_auth              28672  1 nvme_core
typec                 106496  1 typec_ucsi
video                  77824  4 nvidia_wmi_ec_backlight,asus_wmi,amdgpu,asus_nb_wmi
i2c_hid_acpi           12288  0
i2c_hid                40960  1 i2c_hid_acpi
wmi                    28672  5 video,nvidia_wmi_ec_backlight,asus_wmi,wmi_bmof,mfd_aaeon
hid                   180224  7 i2c_hid,usbhid,hid_multitouch,hid_generic,hid_asus,hid_logitech_dj,hid_logitech_hidpp
